run_id,answer_type,law_source,exit_code,pipeline_status,error_stage,query_type,internal_intent,query_predicate,symbolic_status,output_kind,certainty_class,natural_language,explanation,gold_expected,work_dir
nb_011,calculation_rule,microvennootschappen_clean.txt,1,no_results_json,,,,,,,,,,Netto-omzet en balanstotaal worden op geconsolideerde basis berekend; het aantal werknemers wordt opgeteld over de betrokken verbonden vennootschappen.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_011
nb_012,threshold_list,microvennootschappen_clean.txt,1,no_results_json,,,,,,,,,,Jaargemiddelde werknemers: 10; jaarlijkse netto-omzet exclusief btw: 900.000 euro; balanstotaal: 450.000 euro.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_012
nb_013,definition,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,is_foreigner,ok,epistemic_boolean,decisive,Yes. Samir: The person is a foreigner: they cannot prove they hold Belgian nationality.,,Samir valt onder de categorie vreemdeling.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_013
nb_014,definition_conditions,vreemdelingenwet_clean.txt,0,ok,,explain,explain,is_third_country_national,ok,explanation,manual,Target atom is_third_country_national(mila) is entailed. Detailed proof explanation is limited in this environment.,"{'intent': 'explain', 'answer': 'Target atom is_third_country_national(mila) is entailed. Detailed proof explanation is limited in this environment.', 'support': None, 'parsed': True, 'warnings': [], 'raw': {'intent': 'explain', 'status': 'ok', 'output_kind': 'explanation', 'target': {'type': 'predicate', 'predicate': 'is_third_country_national', 'args': ['mila']}, 'label': 'entailed', 'explanation': 'Target atom is_third_country_national(mila) is entailed. Detailed proof explanation is limited in this environment.', 'support': [], 'raw': {'atom': 'is_third_country_national(x0)', 'constraint': '? x0 in Person: __sel0(x0) & is_third_country_national(x0)', 'possible': True, 'certain': True}, 'predicate': 'is_third_country_national', 'args': ['mila'], 'possible': True, 'certain': True, 'certainty_class': 'manual', 'sat': True, 'internal_intent': 'explain', 'antecedent_coverage': [{'rule_index': 1, 'target': 'is_third_country_national(mila)', 'conditions': [{'atom': 'is_eu_citizen(mila)', 'status': 'present'}, {'atom': 'covered_by_eu_free_movement_law(mila)', 'status': 'present'}]}]}}","Mila is een onderdaan van een derde land, omdat zij geen burger van de Unie is en niet onder het gemeenschapsrecht inzake vrij verkeer valt.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_014
nb_015,classification,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,risk_of_absconding,ok,epistemic_boolean,inconclusive,Cannot determine with certainty. risk_of_absconding(nora) is not logically forced either way (label: unknown).,,Nora bevindt zich in illegaal verblijf.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_015
nb_016,condition_list,vreemdelingenwet_clean.txt,0,ok,,explain,explain,risk_of_absconding,ok,explanation,manual,Target atom risk_of_absconding(omar) is unknown. Detailed proof explanation is limited in this environment.,"{'intent': 'explain', 'answer': 'Target atom risk_of_absconding(omar) is unknown. Detailed proof explanation is limited in this environment.', 'support': None, 'parsed': True, 'warnings': [], 'raw': {'intent': 'explain', 'status': 'ok', 'output_kind': 'explanation', 'target': {'type': 'predicate', 'predicate': 'risk_of_absconding', 'args': ['omar']}, 'label': 'unknown', 'explanation': 'Target atom risk_of_absconding(omar) is unknown. Detailed proof explanation is limited in this environment.', 'support': [], 'raw': {'atom': 'risk_of_absconding(x0)', 'constraint': '? x0 in Person: __sel0(x0) & risk_of_absconding(x0)', 'possible': True, 'certain': False}, 'predicate': 'risk_of_absconding', 'args': ['omar'], 'possible': True, 'certain': False, 'certainty_class': 'manual', 'sat': True, 'internal_intent': 'explain', 'antecedent_coverage': [{'rule_index': 18, 'target': 'risk_of_absconding(omar)', 'conditions': [{'atom': 'risk_of_absconding_current_and_real(omar)', 'status': 'helper_defined'}]}]}}","Het risico moet actueel en reëel zijn, worden vastgesteld na een individueel onderzoek, gebaseerd zijn op één of meer objectieve criteria, en rekening houden met alle omstandigheden eigen aan het geval.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_016
nb_017,classification,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,risk_of_absconding,ok,epistemic_boolean,inconclusive,Cannot determine with certainty. risk_of_absconding(pavel) is not logically forced either way (label: unknown).,,Pavel is een geïdentificeerde vreemdeling.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_017
nb_018,objective_criterion,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,risk_of_absconding,ok,epistemic_boolean,inconclusive,Cannot determine with certainty. risk_of_absconding(rina) is not logically forced either way (label: unknown).,,Het criterium dat de betrokkene na illegale binnenkomst of tijdens illegaal verblijf geen verblijfsaanvraag heeft ingediend.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_018
nb_019,classification,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,risk_of_absconding,ok,epistemic_boolean,decisive,"Yes. Tomas: There is a current and real risk that the person will abscond, established after individual examination on the basis of one or more objective criteria.",,Er kan een risico op onderduiken worden vastgesteld.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_019
nb_020,definition,vreemdelingenwet_clean.txt,0,ok,,predicate_boolean,deduction,risk_of_absconding,ok,epistemic_boolean,inconclusive,Cannot determine with certainty. risk_of_absconding(yara) is not logically forced either way (label: unknown).,,Haar situatie is illegaal verblijf: aanwezigheid op het grondgebied van een vreemdeling die niet of niet langer voldoet aan de voorwaarden voor toegang tot of verblijf.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_020
